,0
NAACP Legal Defense and Educational Fund,"$31,000,000"
National Urban League (National Office),"$19,000,000"
Elizabeth Glaser Pediatric AIDS Foundation,"$22,000,000"
Foundation for AIDS Research (amfAR),"$35,000,000"
American Indian College Fund,"$21,000,000"
Native American Rights Fund,"$27,000,000"
American Humane,"$12,000,000"
